RA30;CODIGO_AVALIACAO;CODIGO_SEGMENTO_PISTA;ICP_PD;ACEITABILIDADE;OBSERVACAO;ICP_AV;MES;ANO;AVALIACAO_COMPLEMENTAR;DATA_AVALIACAO;TOTAL_PD_AV;CODIGO_ICP_CT;CODIGO_MR_PREVISTA;CODIGO_FUNCIONARIO_DIGITADOR;CODIGO_FUNCIONARIO_AVALIADOR;QTDE_DEF;DATA_DIG;ID_DIGITADOR;OBS1;ICP_SE;TOTAL_SE;PONTOS_SE;CODIGO_PARAM_CHECAGEM;CODIGO_TP_AVALIACAO;TOTAL_PD;
1;20728;14399;93;S;;85;11;2010;Nao;01/11/10;3;4;1;1;7;3;03/11/10;;;90;;;1;1;7;
1;42347;14400;79;S;;75;7;2011;Nao;05/07/11;10;4;2;24;4;7;06/07/11;;;80;;;1;1;21;
1;20719;14401;91;S;;85;11;2010;Nao;01/11/10;4;4;1;1;7;4;03/11/10;;;90;;;1;1;9;
1;42336;14402;71;S;;65;7;2011;Nao;05/07/11;16;4;3;24;4;10;06/07/11;;;75;;;1;1;29;
1;18674;14403;74;S;;75;10;2010;Nao;07/10/10;12;4;2;1;4;7;08/10/10;;;80;;;2;1;26;
1;18861;14404;76;S;;75;10;2010;Nao;11/10/10;11;4;2;1;4;7;13/10/10;;;80;;;1;1;24;
1;42279;14406;83;S;;80;7;2011;Nao;04/07/11;8;4;1;24;4;6;05/07/11;;;85;;;1;1;17;
1;42280;14407;74,5;S;;75;7;2011;Nao;04/07/11;12;4;2;24;4;7;05/07/11;;;80;;;2;1;25,5;
1;18899;14408;80,5;S;;80;10;2010;Nao;11/10/10;9;4;1;1;4;6;13/10/10;;;85;;;1;1;19,5;
1;18755;14409;85;S;;80;10;2010;Nao;08/10/10;7;4;1;1;4;4;11/10/10;;;85;;;1;1;15;
1;12021;14410;88,5;S;;85;7;2010;Nao;14/07/10;5;4;1;1;4;3;15/07/10;;;90;;;1;1;11,5;
1;17431;14412;85;S;;80;9;2010;Nao;24/09/10;7;4;1;1;4;5;27/09/10;;;85;;;1;1;15;
1;20952;14413;83;S;;80;11;2010;Nao;05/11/10;8;4;1;1;7;4;08/11/10;;;85;;;1;1;17;
1;17527;14414;86,5;S;;80;9;2010;Nao;24/09/10;6;4;1;1;4;4;27/09/10;;;85;;;1;1;13,5;
1;18075;14415;88,5;S;;85;9;2010;Nao;30/09/10;5;4;1;1;4;3;01/10/10;;;90;;;1;1;11,5;
1;17534;14416;88,5;S;;85;9;2010;Nao;24/09/10;5;4;1;1;4;3;27/09/10;;;90;;;1;1;11,5;
1;17612;14417;80,5;S;;80;9;2010;Nao;27/09/10;9;4;1;1;4;6;28/09/10;;;85;;;1;1;19,5;
1;17513;14422;85;S;+-2 de correcao de fadiga alta;85;9;2010;Nao;24/09/10;15;4;1;1;4;0;27/09/10;;;85;;;1;1;15;
1;17370;14426;80,5;S;;80;9;2010;Nao;23/09/10;9;4;2;1;4;6;24/09/10;;;85;;;1;1;19,5;
1;17381;14427;82,5;S;;85;9;2010;Nao;23/09/10;8;4;1;1;4;5;24/09/10;;;85;;;1;1;17,5;
1;17375;14428;82,5;S;;80;9;2010;Nao;23/09/10;8;4;1;1;4;5;24/09/10;;;85;;;1;1;17,5;
1;42636;14430;83;S;;75;7;2011;Nao;06/07/11;8;4;1;24;4;5;07/07/11;;;80;;;1;1;17;
1;15559;14431;87;S;;80;8;2010;Nao;30/08/10;6;4;1;1;7;4;31/08/10;;;85;;;1;1;13;
1;42375;14432;76,5;S;;60;7;2011;Nao;05/07/11;11;4;3;24;7;7;06/07/11;;;70;;;2;1;23,5;
1;15590;14433;93;S;;90;8;2010;Nao;30/08/10;3;4;1;1;7;3;01/09/10;;;90;;;1;1;7;
1;15593;14435;87;S;;85;8;2010;Nao;30/08/10;6;4;1;1;7;4;01/09/10;;;85;;;1;1;13;
1;20251;14437;81;S;;80;10;2010;Nao;26/10/10;10;4;3;1;4;6;27/10/10;;;85;;;1;1;19;
1;20253;14438;80;S;;80;10;2010;Nao;26/10/10;9;4;3;1;4;6;27/10/10;;;85;;;1;1;20;
1;20573;14439;88,5;S;;85;10;2010;Nao;29/10/10;5;4;1;1;4;3;01/11/10;;;90;;;1;1;11,5;
1;20566;14440;82,5;S;Recolocar alguns meio-fios;80;10;2010;Nao;29/10/10;8;4;1;1;4;5;01/11/10;;;85;;;1;1;17,5;
1;20065;14441;82,5;S;;75;10;2010;Nao;22/10/10;11;4;2;1;4;6;26/10/10;;;80;;;1;1;17,5;
1;20304;14442;84,5;S;;80;10;2010;Nao;26/10/10;7;4;1;1;4;4;27/10/10;;;85;;;1;1;15,5;
1;20303;14443;82,5;S;;80;10;2010;Nao;26/10/10;8;4;1;1;4;4;27/10/10;;;85;;;1;1;17,5;
1;16001;14444;84;S;;85;9;2010;Nao;02/09/10;7;4;1;1;4;4;09/09/10;;;85;;;1;1;16;
1;42637;14445;85;S;;80;7;2011;Nao;06/07/11;7;4;1;24;4;5;07/07/11;;;85;;;1;1;15;
1;16290;14446;80;S;;80;9;2010;Nao;08/09/10;9;4;3;1;4;6;13/09/10;;;85;;;1;1;20;
1;15996;14447;82;S;;85;9;2010;Nao;02/09/10;8;4;3;1;4;5;09/09/10;;;85;;;1;1;18;
1;16003;14448;77,5;S;;80;9;2010;Nao;02/09/10;10;4;3;1;4;6;09/09/10;;;85;;;2;1;22,5;
1;17716;14449;86,5;S;;80;9;2010;Nao;28/09/10;6;4;1;1;4;3;29/09/10;;;85;;;1;1;13,5;
1;15382;14450;84;S;;85;8;2010;Nao;25/08/10;7;4;1;1;4;4;26/08/10;;;85;;;1;1;16;
1;16508;14451;82,5;S;;80;9;2010;Nao;13/09/10;8;4;2;1;4;4;15/09/10;;;85;;;1;1;17,5;
1;15784;14452;86;S;;80;8;2010;Nao;31/08/10;6;4;1;1;4;5;06/09/10;;;85;;;1;1;14;
1;15736;14453;90;S;;85;8;2010;Nao;30/08/10;4;4;1;1;4;3;03/09/10;;;90;;;1;1;10;
1;15810;14454;85;S;;85;8;2010;Nao;31/08/10;15;4;1;1;4;0;06/09/10;;;85;;;1;1;15;
1;16292;14456;91;S;;90;9;2010;Nao;08/09/10;4;4;1;1;4;3;13/09/10;;;90;;;1;1;9;
1;42321;14460;76;S;;60;7;2011;Nao;04/07/11;15;4;2;24;7;5;05/07/11;;;70;;;2;1;24;
1;15565;14461;89;S;;85;8;2010;Nao;30/08/10;5;4;1;1;7;6;31/08/10;;;90;;;1;1;11;
1;15725;14463;90,5;S;;85;8;2010;Nao;30/08/10;5;4;1;1;4;3;02/09/10;;;90;;;1;1;9,5;
1;15551;14464;91;S;;85;8;2010;Nao;30/08/10;4;4;1;1;7;4;31/08/10;;;90;;;1;1;9;
1;15839;14466;89;S;;90;8;2010;Nao;31/08/10;5;4;1;1;7;4;13/09/10;;;90;;;1;1;11;
1;42377;14467;80,5;S;;60;7;2011;Nao;05/07/11;11;4;3;24;7;8;06/07/11;;;70;;;3;1;19,5;
1;15829;14468;76;S;Refazer mais ou menos 5m de remendo correcao + preventiva.;80;8;2010;Nao;31/08/10;11;4;2;1;4;8;06/09/10;;;80;;;1;1;24;
1;15782;14469;76;S;;85;8;2010;Nao;31/08/10;12;4;2;1;4;7;06/09/10;;;85;;;2;1;24;
1;15552;14470;95;S;;90;8;2010;Nao;30/08/10;3;4;3;1;7;3;13/09/10;;;90;;;1;1;5;
1;16056;14471;85;S;;80;9;2010;Nao;02/09/10;7;4;1;1;7;6;09/09/10;;;85;;;1;1;15;
1;15822;14472;82;S;;80;8;2010;Nao;31/08/10;8;4;3;1;4;5;06/09/10;;;85;;;1;1;18;
1;15553;14473;91;S;;90;8;2010;Nao;30/08/10;5;4;1;1;7;5;31/08/10;;;90;;;1;1;9;
1;15591;14474;97,5;S;;90;8;2010;Nao;30/08/10;1;4;1;1;7;2;01/09/10;;;90;;;2;1;2,5;
1;16289;14475;78,5;S;;80;9;2010;Nao;08/09/10;11;4;2;1;4;7;13/09/10;;;80;;;1;1;21,5;
1;15554;14476;89;S;;90;8;2010;Nao;30/08/10;5;4;1;1;7;5;31/08/10;;;90;;;1;1;11;
1;16147;14479;84,5;S;;85;9;2010;Nao;06/09/10;7;4;1;1;4;4;09/09/10;;;85;;;1;1;15,5;
1;16148;14480;80,5;S;;85;9;2010;Nao;06/09/10;9;4;3;1;4;6;09/09/10;;;85;;;1;1;19,5;
1;16285;14481;92,5;S;;90;9;2010;Nao;08/09/10;3;4;1;1;4;2;13/09/10;;;90;;;1;1;7,5;
1;42378;14482;86,5;S;;75;7;2011;Nao;05/07/11;6;4;3;24;7;5;06/07/11;;;80;;;2;1;13,5;
1;16319;14483;82;S;;80;9;2010;Nao;08/09/10;8;4;3;1;4;6;13/09/10;;;85;;;1;1;18;
1;16238;14484;93;S;;85;9;2010;Nao;08/09/10;5;4;1;1;7;5;13/09/10;;;90;;;1;1;7;
1;16318;14486;74;S;;80;9;2010;Nao;08/09/10;12;4;2;1;4;9;13/09/10;;;80;;;2;1;26;
1;15816;14487;73;S;;75;8;2010;Nao;31/08/10;14;4;2;1;4;8;06/09/10;;;80;;;2;1;27;
1;15223;15960;84,5;S;;85;8;2010;Nao;24/08/10;7;4;1;1;4;5;25/08/10;;;85;;;1;1;15,5;
1;15226;15961;77,5;S;;80;8;2010;Nao;24/08/10;10;4;3;1;4;6;25/08/10;;;85;;;2;1;22,5;
1;15200;15962;81;S;Recapeamento;85;8;2010;Nao;24/08/10;8;4;3;1;4;4;25/08/10;;;85;;;1;1;19;
1;14986;15963;81;S;;80;8;2010;Nao;18/08/10;8;4;3;1;4;4;19/08/10;;;85;;;1;1;19;
1;15063;15964;72,5;S;;75;8;2010;Nao;19/08/10;12;4;3;1;4;6;20/08/10;;;80;;;2;1;27,5;
1;14981;15965;83,5;S;Correcao + preventiva;80;8;2010;Nao;18/08/10;10;4;2;1;4;6;19/08/10;;;85;;;1;1;16,5;
1;14977;15966;78,5;S;;80;8;2010;Nao;18/08/10;9;4;3;1;4;4;19/08/10;;;85;;;2;1;21,5;
1;14983;15967;79;S;;80;8;2010;Nao;18/08/10;9;4;3;1;4;5;19/08/10;;;85;;;2;1;21;
1;14980;15968;85;S;Escoamento de agua limitado;80;8;2010;Nao;18/08/10;6;4;3;1;4;3;19/08/10;;;85;;;1;1;15;
1;14979;15969;72,5;S;Recapeamento;75;8;2010;Nao;18/08/10;12;4;3;1;4;5;19/08/10;;;80;;;2;1;27,5;
1;15062;15970;82,5;S;;80;8;2010;Nao;19/08/10;7;4;3;1;4;3;20/08/10;;;85;;;1;1;17,5;
1;14978;15971;81;S;;80;8;2010;Nao;18/08/10;10;4;3;1;4;5;19/08/10;;;85;;;1;1;19;
1;14870;15972;82,5;S;;80;8;2010;Nao;17/08/10;8;4;1;1;4;5;18/08/10;;;85;;;1;1;17,5;
1;15060;15973;92,5;S;;85;8;2010;Nao;19/08/10;3;4;1;1;4;2;20/08/10;;;90;;;1;1;7,5;
1;14846;15974;91;S;;85;8;2010;Nao;17/08/10;4;4;1;1;4;3;18/08/10;;;90;;;1;1;9;
1;14925;15975;87;S;;85;8;2010;Nao;18/08/10;6;4;1;1;4;4;19/08/10;;;90;;;1;1;13;
1;14865;15976;84;S;;80;8;2010;Nao;17/08/10;9;4;2;1;4;6;18/08/10;;;85;;;1;1;16;
1;17151;15977;82;S;;85;9;2010;Nao;21/09/10;8;4;3;1;4;4;22/09/10;;;85;;;1;1;18;
1;19475;15978;86,5;S;;75;10;2010;Nao;15/10/10;6;4;1;1;7;6;19/10/10;;;80;;;2;1;13,5;
1;19476;15979;82,5;S;;75;10;2010;Nao;15/10/10;8;4;1;1;7;8;19/10/10;;;75;;;2;1;17,5;
1;19477;15980;95;S;;85;10;2010;Nao;15/10/10;2;4;1;1;7;2;19/10/10;;;90;;;1;1;5;
1;19216;15981;88,5;S;;85;10;2010;Nao;14/10/10;6;4;1;1;7;6;15/10/10;;;90;;;1;1;11,5;
1;19218;15982;87;S;;80;10;2010;Nao;14/10/10;6;4;1;1;7;4;15/10/10;;;85;;;1;1;13;
1;19212;15983;91;S;;85;10;2010;Nao;14/10/10;4;4;1;1;7;4;15/10/10;;;90;;;1;1;9;
1;19213;15984;93;S;;85;10;2010;Nao;14/10/10;3;4;1;1;7;3;15/10/10;;;90;;;1;1;7;
1;19214;15985;92,5;S;;80;10;2010;Nao;14/10/10;3;4;1;1;7;3;15/10/10;;;85;;;2;1;7,5;
1;19215;15986;90,5;S;;75;10;2010;Nao;14/10/10;5;4;1;1;7;5;15/10/10;;;80;;;3;1;9,5;
1;19211;15987;93;S;;85;10;2010;Nao;14/10/10;3;4;1;1;7;3;15/10/10;;;90;;;1;1;7;
1;19164;15988;84,5;S;;75;10;2010;Nao;14/10/10;7;4;1;1;7;7;15/10/10;;;80;;;1;1;15,5;
1;19274;15989;88,5;S;;75;10;2010;Nao;14/10/10;5;4;1;1;7;5;15/10/10;;;80;;;2;1;11,5;
