RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;90760;111321;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90761;111288;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90762;111322;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;2;2;2;;;5;20;0;
1;90763;111323;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90764;111324;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90766;111326;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90767;111327;1;5;;21/06/12;;;6;;;;;;2;1;3;;1;;;;2;;S;3;2;2;;;5;20;0;
1;90769;111352;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90770;111353;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90772;111355;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90776;13684;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;S;;2;2;3;3;;5;20;0;
1;90777;14630;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90780;111356;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;S;3;2;2;;;5;20;0;
1;90781;111286;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
